MAP,RED_SCORE,BLUE_SCORE,WINNER,RED_1,RED_2,RED_3,RED_4,RED_5,BLUE_1,BLUE_2,BLUE_3,BLUE_4,BLUE_5
2,317,500,,ran,ran,ran,0,0,t,g,ran,ran,war
1,133,500,,g,mes,war,war,0,necro,ran,war,ran,ran
3,270,501,,mes,war,mes,t,war,t,ran,ran,war,ran
1,500,13,,necro,war,g,war,ran,mes,ran,war,g,0
2,452,500,,t,ele,mes,t,necro,mes,ran,ele,ran,g
3,234,501,,t,ran,ele,ran,war,ran,t,war,g,engi
2,504,454,,war,ran,war,mes,ran,war,ran,engi,t,g
1,501,278,,ran,t,ran,necro,war,ran,war,war,ran,ran
3,538,452,,t,ran,ran,ele,g,engi,g,g,g,necro
4,242,500,,ran,ran,t,g,t,g,g,g,necro,t
1,500,282,,ran,necro,ele,mes,mes,ele,ran,g,mes,t
2,402,500,,ran,necro,t,necro,0,ran,t,ran,ele,t
3,185,500,,necro,ran,ele,g,g,mes,g,ran,war,necro
4,150,500,,t,war,ele,ele,mes,ran,t,g,ran,engi
2,444,500,,engi,ran,engi,t,0,ele,mes,ran,necro,0
4,502,311,,mes,t,ran,g,g,ran,t,t,t,t
1,501,348,,ran,necro,war,t,ran,mes,g,engi,ran,war
2,500,420,,ran,ele,ran,war,mes,g,war,ran,ele,ran
3,502,345,,ran,ele,g,war,t,ele,ele,t,ele,g
2,310,501,,t,mes,t,g,ele,war,ran,ele,ran,g
3,500,351,,t,war,mes,necro,war,war,mes,g,ran,t
3,316,500,,ran,g,t,ran,war,ran,ele,war,ran,g
3,424,501,,t,war,ran,mes,necro,t,t,g,ran,mes
3,102,624,,war,t,g,engi,engi,ran,ran,t,g,ele
4,271,502,,t,engi,war,mes,engi,t,mes,ran,engi,ran
1,188,501,,t,necro,ele,g,ele,ran,g,ele,war,necro
3,343,508,,ran,ran,war,t,engi,t,ran,mes,war,engi
2,500,372,,ran,war,g,g,mes,ran,t,engi,g,g
2,329,501,,ran,ran,ran,t,ele,war,necro,ele,engi,g
2,383,500,,ran,t,g,ran,mes,mes,g,war,engi,necro
2,283,500,,war,ran,war,war,necro,g,ele,war,mes,war
3,10,538,,t,t,necro,t,0,mes,mes,ran,war,g
2,500,199,,g,g,ran,war,war,mes,t,ran,ran,ele
2,373,500,,t,ele,war,t,g,ran,g,ran,t,g
2,435,500,,mes,ele,necro,t,ran,ran,necro,g,g,mes
2,300,500,,g,necro,t,mes,t,t,ran,mes,ran,war
3,520,361,,ran,g,g,mes,ele,ele,ran,mes,t,ran
2,420,501,,ele,necro,mes,ran,ran,ele,g,war,g,necro
3,501,95,,t,engi,war,g,mes,war,g,t,ele,ran
4,501,313,,ran,t,ran,t,t,ele,ran,mes,ran,t
4,356,501,,t,mes,g,t,ran,ele,engi,ele,engi,ran
2,504,389,,ran,necro,mes,engi,mes,ran,mes,ran,ran,g
